parcel_id,detected_number,cx,cy,confidence,validation,area_px,tess_number,tess_conf,easy_number,easy_conf
,,4069.0233169129715,4709.10461262875,0.0,NO_NUMBER,5582.5,,0.75,,0.0
,,4813.927452398168,4636.983369486623,0.0,NO_NUMBER,1383.0,,0.0,,0.0
,,5034.665170556553,4575.078695391981,0.0,NO_NUMBER,1114.0,,0.05,,0.0
,,6916.9415807560135,4603.542753183748,0.0,NO_NUMBER,824.5,,0.0,,0.0
,,6063.226805143422,4726.537388724036,0.0,NO_NUMBER,3370.0,,0.57,,0.0
,,5256.101007677543,4577.267594369801,0.0,NO_NUMBER,2084.0,,0.87,,0.0
,,5575.478478896783,4502.637136091377,0.0,NO_NUMBER,2393.0,,0.16,,0.0
,,4814.427032019705,4530.207409688013,0.0,NO_NUMBER,1624.0,,0.41,,0.0
,,5806.618693902817,4454.028164654906,0.0,NO_NUMBER,1077.0,,0.0,,0.0
,,4863.566343042071,4483.003236245954,0.0,NO_NUMBER,1442.0,,0.54,,0.0
,,6957.123775064073,4474.093170511081,0.0,NO_NUMBER,1105.5,,0.0,,0.0
,,6050.13432442406,4419.437028836523,0.0,NO_NUMBER,3161.5,,0.0,,0.0
,,5753.897375003958,4405.913935594186,0.0,NO_NUMBER,5263.5,,0.9,,0.0
,,6271.773487773487,4419.108200036771,0.0,NO_NUMBER,1813.0,,0.0,,0.0
,,6304.241217011262,4326.735249621785,0.0,NO_NUMBER,991.5,,0.0,,0.0
,428,3965.6276534767962,4569.241416528399,0.5576375544071197,INVALID,49722.5,,0.96,428,0.7966
