parcel_id,bbox_x,bbox_y,bbox_w,bbox_h,cx,cy,area_px,detected_number,confidence,validation,tess_text,easyocr_text,engines_agree
262,6097,3899,20,112,6105,3954,526.0,,0.0,UNKNOWN,,,
263,5633,3899,95,78,5674,3937,595.5,,0.0,UNKNOWN,,,
264,4997,3895,117,58,5055,3922,571.0,,0.0,UNKNOWN,,,
265,5037,3890,226,126,5162,3952,1077.5,,0.0,UNKNOWN,,,
266,3135,3877,243,114,3262,3931,1257.0,,0.0,UNKNOWN,,,
267,6796,3875,135,64,6868,3902,736.5,,0.0,UNKNOWN,,,
268,6518,3870,24,92,6530,3916,576.0,,0.0,UNKNOWN,,,
269,2392,3870,188,120,2472,3926,1337.0,,0.0,UNKNOWN,,,
270,7117,3865,156,29,7202,3878,846.5,,0.0,UNKNOWN,,,
271,6941,3858,173,21,7024,3864,980.5,,0.0,UNKNOWN,,,
272,6530,3851,334,135,6693,3936,1994.5,,0.0,UNKNOWN,,,
273,4741,3838,166,34,4819,3851,804.5,,0.0,UNKNOWN,,,
274,6785,3833,169,83,6867,3872,736.0,,0.0,UNKNOWN,,,
275,4934,3830,258,109,5074,3887,1267.0,,0.0,UNKNOWN,,,
276,6964,3820,305,36,7122,3837,1593.5,,0.0,UNKNOWN,,,
277,6400,3805,61,32,6433,3815,543.5,,0.0,UNKNOWN,,,
278,7314,3785,45,149,7328,3859,800.0,,0.0,UNKNOWN,,,
279,2488,3774,139,25,2551,3786,743.0,,0.0,UNKNOWN,,,
280,6002,3767,52,47,6027,3788,697.5,,0.0,UNKNOWN,,,
281,4259,3761,376,52,4455,3780,2123.5,,0.0,UNKNOWN,,,
282,7270,3756,63,96,7300,3803,557.0,,0.0,UNKNOWN,,,
283,6120,3754,99,125,6163,3813,932.5,,0.0,UNKNOWN,,,
284,6607,3752,79,71,6648,3782,662.0,,0.0,UNKNOWN,,,
285,7086,3742,88,62,7138,3766,1014.0,,0.0,UNKNOWN,,,
286,3186,3736,205,97,3280,3781,1273.0,,0.0,UNKNOWN,,,
287,6090,3731,60,55,6118,3753,513.5,,0.0,UNKNOWN,,,
288,7230,3727,63,47,7261,3747,542.5,,0.0,UNKNOWN,,,
289,2361,3727,97,45,2404,3747,514.0,,0.0,UNKNOWN,,,
290,6980,3716,119,102,7035,3766,770.0,,0.0,UNKNOWN,,,
291,1941,3708,265,78,2084,3738,1691.5,,0.0,UNKNOWN,,,
292,6583,3707,46,66,6604,3736,553.5,,0.0,UNKNOWN,,,
293,843,3696,144,54,911,3725,619.0,,0.0,UNKNOWN,,,
294,2629,3693,690,134,2990,3789,3658.5,,0.0,UNKNOWN,,,
295,3857,3692,95,56,3901,3720,570.0,,0.0,UNKNOWN,,,
296,989,3678,189,72,1086,3722,1073.5,,0.0,UNKNOWN,,,
297,5928,3670,180,93,6021,3713,831.0,,0.0,UNKNOWN,,,
298,2028,3657,229,86,2146,3703,1766.0,,0.0,UNKNOWN,,,
299,7452,3654,78,39,7490,3674,524.0,,0.0,UNKNOWN,,,
300,6228,3650,96,89,6276,3696,726.5,,0.0,UNKNOWN,,,
301,7257,3649,71,66,7286,3679,510.5,,0.0,UNKNOWN,,,
302,7101,3643,74,73,7147,3678,708.5,,0.0,UNKNOWN,,,
303,1849,3639,176,20,1931,3648,993.5,,0.0,UNKNOWN,,,
304,6868,3637,276,214,6998,3754,2174.5,,0.0,UNKNOWN,,,
305,8142,3633,112,35,8195,3651,525.0,,0.0,UNKNOWN,,,
306,1519,3626,343,71,1690,3651,2026.5,,0.0,UNKNOWN,,,
307,7589,3614,509,30,7837,3628,2676.5,,0.0,UNKNOWN,,,
308,792,3614,593,80,1115,3652,3222.0,,0.0,UNKNOWN,,,
309,6311,3613,295,191,6453,3708,2253.5,,0.0,UNKNOWN,,,
310,8303,3612,120,73,8364,3642,741.5,,0.0,UNKNOWN,,,
311,3648,3610,78,145,3684,3676,871.0,,0.0,UNKNOWN,,,
312,6289,3605,102,39,6336,3623,590.0,,0.0,UNKNOWN,,,
313,3980,3602,139,63,4057,3624,847.5,,0.0,UNKNOWN,,,
314,6612,3591,142,34,6678,3610,725.0,,0.0,UNKNOWN,,,
315,3712,3588,87,25,3754,3600,551.0,,0.0,UNKNOWN,,,
316,1366,3586,451,51,1592,3600,2708.5,,0.0,UNKNOWN,,,
317,7483,3582,404,53,7669,3596,2079.0,,0.0,UNKNOWN,,,
318,3446,3579,123,57,3502,3605,796.0,,0.0,UNKNOWN,,,
319,6083,3575,176,24,6170,3582,790.0,,0.0,UNKNOWN,,,
320,8122,3572,111,39,8177,3592,507.0,,0.0,UNKNOWN,,,
321,4023,3572,124,61,4090,3595,706.5,,0.0,UNKNOWN,,,
322,3339,3561,69,86,3373,3602,772.0,,0.0,UNKNOWN,,,
323,7267,3559,104,146,7316,3634,1336.0,,0.0,UNKNOWN,,,
324,7337,3551,136,113,7408,3606,1279.5,,0.0,UNKNOWN,,,
325,8046,3543,160,46,8129,3570,716.5,,0.0,UNKNOWN,,,
326,5376,3536,125,70,5434,3574,803.5,,0.0,UNKNOWN,,,
327,3684,3482,173,99,3768,3544,1187.5,,0.0,UNKNOWN,,,
328,5045,3472,95,43,5097,3493,596.0,,0.0,UNKNOWN,,,
329,6060,3463,24,125,6070,3524,784.0,,0.0,UNKNOWN,,,
330,6273,3456,205,151,6374,3545,1529.5,,0.0,UNKNOWN,,,
331,788,3437,120,34,857,3452,593.0,,0.0,UNKNOWN,,,
332,5242,3392,83,63,5282,3422,504.5,,0.0,UNKNOWN,,,
333,6609,3384,444,227,6836,3495,2948.0,,0.0,UNKNOWN,,,
334,3423,3378,175,157,3497,3445,1583.5,,0.0,UNKNOWN,,,
335,8285,3345,129,114,8350,3401,778.5,,0.0,UNKNOWN,,,
336,1998,3308,354,395,2180,3518,4045.0,,0.0,UNKNOWN,,,
337,910,3307,627,139,1234,3376,5574.5,,0.0,UNKNOWN,,,
338,6252,3291,199,187,6351,3384,1463.5,,0.0,UNKNOWN,,,
339,6787,3290,80,46,6825,3309,516.5,,0.0,UNKNOWN,,,
340,1881,3284,378,435,2076,3506,4422.5,,0.0,UNKNOWN,,,
341,6549,3271,93,125,6594,3329,685.0,,0.0,UNKNOWN,,,
342,7764,3267,135,79,7829,3311,931.0,,0.0,UNKNOWN,,,
343,1617,3261,237,48,1735,3285,2187.5,,0.0,UNKNOWN,,,
344,7739,3239,216,116,7851,3294,1505.0,,0.0,UNKNOWN,,,
345,5916,3219,94,80,5963,3259,632.0,,0.0,UNKNOWN,,,
346,7945,3216,142,126,8012,3287,1329.5,,0.0,UNKNOWN,,,
347,1543,3214,55,47,1569,3237,644.0,,0.0,UNKNOWN,,,
348,7983,3205,42,54,8006,3233,661.5,,0.0,UNKNOWN,,,
349,7849,3202,44,29,7870,3215,536.5,0,0.321,INVALID,,0,
350,7897,3196,39,53,7918,3218,505.5,,0.0,UNKNOWN,,,
351,8413,3188,70,155,8455,3268,772.5,,0.0,UNKNOWN,,,
352,1967,3168,52,69,1990,3205,561.0,,0.0,UNKNOWN,,,
