id,area_px,area_frac,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,aspect_ratio,perimeter_px,solidity,compactness
552,1461.5,2.7e-05,7863,1290,7829,1160,79,276,0.286,665.0,0.471,0.042
553,1068.0,2e-05,1214,1206,1143,1159,135,84,1.607,360.5,0.525,0.103
554,779.0,1.5e-05,393,1193,369,1156,66,82,0.805,320.0,0.307,0.096
555,514.0,1e-05,5253,1164,5213,1149,94,30,3.133,233.3,0.369,0.119
556,538.5,1e-05,2322,1165,2292,1149,51,49,1.041,205.4,0.391,0.16
557,612.5,1.1e-05,1026,1170,971,1148,105,50,2.1,273.5,0.453,0.103
558,667.5,1.2e-05,4744,1183,4706,1141,77,83,0.928,242.8,0.713,0.142
559,635.5,1.2e-05,1993,1177,1978,1141,32,75,0.427,205.4,0.452,0.189
560,831.5,1.6e-05,2679,1162,2663,1139,48,66,0.727,243.6,0.436,0.176
561,974.5,1.8e-05,5742,1179,5650,1129,178,113,1.575,462.3,0.364,0.057
562,2298.0,4.3e-05,1326,1162,1155,1128,337,88,3.83,777.0,0.317,0.048
563,515.0,1e-05,6174,1158,6167,1123,18,70,0.257,169.1,0.624,0.226
564,739.0,1.4e-05,2131,1181,2102,1123,53,129,0.411,310.9,0.435,0.096
565,564.5,1.1e-05,7858,1169,7848,1107,23,127,0.181,280.3,0.597,0.09
566,752.0,1.4e-05,1942,1134,1912,1107,50,66,0.758,233.5,0.452,0.173
567,1241.5,2.3e-05,1560,1122,1535,1099,47,75,0.627,233.8,0.571,0.285
568,3360.5,6.3e-05,4442,1279,4325,1091,271,388,0.698,1084.9,0.271,0.036
569,983.5,1.8e-05,1491,1124,1456,1089,64,70,0.914,305.1,0.378,0.133
570,624.5,1.2e-05,4614,1124,4584,1081,57,92,0.62,252.4,0.577,0.123
571,644.5,1.2e-05,2289,1104,2269,1071,47,56,0.839,229.2,0.463,0.154
572,825.0,1.5e-05,1425,1105,1405,1070,51,69,0.739,279.9,0.404,0.132
573,1137.5,2.1e-05,1696,1153,1690,1068,15,171,0.088,378.1,0.641,0.1
574,691.5,1.3e-05,7734,1087,7714,1065,46,47,0.979,267.0,0.436,0.122
575,615.5,1.1e-05,3399,1127,3382,1064,32,123,0.26,297.9,0.414,0.087
576,504.0,9e-06,925,1078,881,1062,97,28,3.464,231.5,0.494,0.118
577,1723.0,3.2e-05,2451,1191,2426,1061,54,267,0.202,603.8,0.532,0.059
578,848.5,1.6e-05,1902,1084,1884,1054,53,56,0.946,228.6,0.486,0.204
579,733.5,1.4e-05,1364,1079,1347,1054,41,66,0.621,227.2,0.424,0.179
580,2478.5,4.6e-05,2670,1105,2521,1043,323,137,2.358,868.0,0.243,0.041
581,823.0,1.5e-05,7357,1065,7335,1035,59,65,0.908,278.4,0.369,0.133
582,1190.5,2.2e-05,6903,1096,6887,1033,38,126,0.302,312.4,0.526,0.153
583,841.0,1.6e-05,5778,1061,5722,1032,111,64,1.734,286.0,0.637,0.129
584,573.0,1.1e-05,2254,1050,2242,1029,34,56,0.607,187.3,0.489,0.205
585,968.5,1.8e-05,2039,1063,1975,1022,130,94,1.383,364.2,0.363,0.092
586,616.0,1.2e-05,668,1071,626,1020,81,103,0.786,295.0,0.481,0.089
587,501.5,9e-06,3158,1033,3146,1013,36,55,0.655,188.6,0.41,0.177
588,1721.5,3.2e-05,7199,1143,7162,1011,79,253,0.312,608.7,0.564,0.058
589,1240.5,2.3e-05,522,1096,436,1011,166,173,0.96,531.5,0.49,0.055
590,802.5,1.5e-05,1854,1038,1838,1010,49,73,0.671,270.4,0.354,0.138
